Report Date,Country name,Cumulative Total,Cumulative Land,Cumulative Sea
14/Jan/2016,Bulgaria,225,225,
21/Jan/2016,Bulgaria,356,356,
28/Jan/2016,Bulgaria,504,504,
31/Jan/2016,Bulgaria,596,596,
04/Feb/2016,Bulgaria,752,752,
11/Feb/2016,Bulgaria,834,834,
18/Feb/2016,Bulgaria,913,913,
25/Feb/2016,Bulgaria,1046,1046,
03/Mar/2016,Bulgaria,1219,1219,
10/Mar/2016,Bulgaria,1321,1321,
17/Mar/2016,Bulgaria,1429,1429,
24/Mar/2016,Bulgaria,1461,1461,
31/Mar/2016,Bulgaria,1570,1570,
07/Apr/2016,Bulgaria,1884,1884,
14/Apr/2016,Bulgaria,2188,2188,
21/Apr/2016,Bulgaria,2468,2468,
28/Apr/2016,Bulgaria,2660,2660,
30/Apr/2016,Bulgaria,2898,2898,
12/May/2016,Bulgaria,3140,3140,
19/May/2016,Bulgaria,3376,3376,
26/May/2016,Bulgaria,3680,3680,
31/May/2016,Bulgaria,4099,4099,
02/Jun/2016,Bulgaria,4424,4424,
09/Jun/2016,Bulgaria,4773,4773,
16/Jun/2016,Bulgaria,5015,5015,
23/Jun/2016,Bulgaria,5230,5230,
30/Jun/2016,Bulgaria,5535,5535,
07/Jul/2016,Bulgaria,5901,5901,
14/Jul/2016,Bulgaria,6211,6211,
21/Jul/2016,Bulgaria,6717,6717,
28/Jul/2016,Bulgaria,6771,6771,
04/Aug/2016,Bulgaria,7346,7346,
11/Aug/2016,Bulgaria,8033,8033,
18/Aug/2016,Bulgaria,8849,8849,
25/Aug/2016,Bulgaria,9498,9498,
31/Aug/2016,Bulgaria,10793,10793,
01/Sep/2016,Bulgaria,11436,11436,
08/Sep/2016,Bulgaria,12098,12098,
15/Sep/2016,Bulgaria,12727,12727,
22/Sep/2016,Bulgaria,13210,13210,
29/Sep/2016,Bulgaria,13438,13438,
06/Oct/2016,Bulgaria,13934,13934,
13/Oct/2016,Bulgaria,14664,14664,
17/Oct/2016,Bulgaria,14730,14730,
20/Oct/2016,Bulgaria,15076,15076,
24/Oct/2016,Bulgaria,15085,15085,
27/Oct/2016,Bulgaria,15437,15437,
31/Oct/2016,Bulgaria,15571,15571,
01/Nov/2016,Bulgaria,15578,15578,
02/Nov/2016,Bulgaria,15581,15581,
03/Nov/2016,Bulgaria,15825,15825,
07/Nov/2016,Bulgaria,15879,15879,
10/Nov/2016,Bulgaria,16131,16131,
15/Nov/2016,Bulgaria,16138,16138,
16/Nov/2016,Bulgaria,16139,16139,
17/Nov/2016,Bulgaria,16351,16351,
24/Nov/2016,Bulgaria,16564,16564,
30/Nov/2016,Bulgaria,16700,16700,
01/Dec/2016,Bulgaria,16958,16958,
08/Dec/2016,Bulgaria,17011,17011,
15/Dec/2016,Bulgaria,17045,17045,
22/Dec/2016,Bulgaria,17118,17118,
29/Dec/2016,Bulgaria,17187,17187,
01/Jan/2016,Croatia,1894,1894,
02/Jan/2016,Croatia,4663,4663,
03/Jan/2016,Croatia,9242,9242,
04/Jan/2016,Croatia,11833,11833,
05/Jan/2016,Croatia,13585,13585,
06/Jan/2016,Croatia,16756,16756,
07/Jan/2016,Croatia,18640,18640,
08/Jan/2016,Croatia,21972,21972,
09/Jan/2016,Croatia,23771,23771,
10/Jan/2016,Croatia,24713,24713,
11/Jan/2016,Croatia,26262,26262,
12/Jan/2016,Croatia,27031,27031,
13/Jan/2016,Croatia,29710,29710,
14/Jan/2016,Croatia,31212,31212,
15/Jan/2016,Croatia,33705,33705,
16/Jan/2016,Croatia,36371,36371,
17/Jan/2016,Croatia,38162,38162,
18/Jan/2016,Croatia,40092,40092,
19/Jan/2016,Croatia,42009,42009,
20/Jan/2016,Croatia,42923,42923,
21/Jan/2016,Croatia,44788,44788,
